Run,Mean Q DN
0,25.127166329972056
1,25.885641949896318
2,8.606192757921002
3,91.00559890085759
4,31.987617720042827
5,51.203657627815424
6,75.00005846887882
7,10.538181967329622
8,51.32363626156364
9,20.35036118466368
10,46.827043346582165
11,53.751624017068806
12,12.083954618258973
13,75.7707136559275
14,6.80771078356155
15,51.08999446989548
16,77.30275139939373
17,24.8150631407681
18,89.55178574212484
19,16.44539226575706
20,15.459127965255034
21,27.859627459960308
22,70.89505164755262
23,48.81210908026991
24,29.412232272484616
25,12.255413396071178
26,16.2445543956673
27,51.35240784607237
28,22.41067018563484
29,41.48706229286232
30,59.67010915561356
31,13.151076661400415
32,6.3072178927246645
33,116.65746434105657
34,10.014675318928935
35,21.748231043401987
36,12.303617787355435
37,22.641902149022894
38,6.336753164037707
39,3.0366648995197334
40,9.14573238467727
41,17.509626607194228
42,5.5099102311188926
43,21.791978207454797
44,54.89176847146951
45,87.30040911126032
46,1.6801044075541027
47,16.734892377464956
48,29.443839913407952
49,76.2871390335421
50,20.18186382330348
51,20.5969799066814
52,35.52052666243962
53,27.40732668638833
54,17.07641570177145
55,23.891659894791754
56,7.307631307809009
57,5.388230002484428
58,11.81675429032257
59,505.0492253620577
60,56.74225166137255
61,14.162210887016132
62,24.998374102744854
63,71.4621641479314
64,38.96314624572926
65,18.826517057459686
66,24.964099651158445
67,125.33473415091133
68,12.782243920193073
69,18.353963536877988
70,69.02002523145707
71,68.4478803476136
72,8.01675766116607
73,12.578076965198877
74,7.921803903558704
75,20.925053786610007
76,8.640562776740103
77,21.712079127684785
78,67.34072621437114
79,32.10676242995906
80,34.05287245822503
81,80.00034047134729
82,29.47607803107383
83,3.621652383809129
84,18.645002254568066
85,18.756731592785084
86,55.96741015674816
87,14.32144823438675
88,57.536329401809304
89,12.117942461703315
90,37.69705403634784
91,6.640085692501019
92,76.81255278232872
93,16.96663625329326
94,21.86525168201639
95,3.3915260101228557
96,33.18137053745028
97,1.0398660841257876
98,38.38887742068185
99,8.105736244971267
