Run,Mean Q Nurse
0,15.83119201603042
1,28.129641155237692
2,6.559142625490826
3,4.50851957518566
4,39.14005571472675
5,28.72401553500114
6,10.749829407667105
7,46.671707773020735
8,28.365265366359868
9,46.39366326043025
10,17.95013441873112
11,21.66923364784892
12,3.5840475423687335
13,24.949184482601343
14,18.505539425292014
15,8.771811468748451
16,29.971229847522746
17,17.614545978760052
18,3.9057658464326392
19,22.018625707419666
20,40.679254243171584
21,28.284970930392593
22,38.2816227659794
23,29.756218228922688
24,35.75822382536934
25,4.517398636773351
26,28.56328694450237
27,42.566865039645315
28,39.55787276866833
29,35.52593587990423
30,27.148567068229173
31,32.2913986724784
32,31.2316106065461
33,35.117850762886185
34,28.140844962178804
35,32.37043068602602
36,27.39121770151385
37,26.43203478139814
38,12.008752686434633
39,40.85448710036817
40,24.908853627638344
41,11.898826399358068
42,18.864016430913374
43,19.991094334277985
44,30.49585185075847
45,5.4712872355406335
46,25.861134315955873
47,51.574455773733725
48,41.76660998317701
49,31.612059720901232
50,9.132129555181118
51,14.64926245851609
52,55.37264063676801
53,23.8731092379849
54,50.761664565697124
55,27.543985001205836
56,33.61322225123107
57,25.174583732594925
58,12.978471134760403
59,44.32023665175985
60,16.208796198477895
61,24.748236716394075
62,24.342755011657424
63,71.0118157243505
64,11.116702988900238
65,23.863087143225844
66,13.453007327939487
67,12.396785266048738
68,16.165886639356852
69,27.047390660462213
70,46.26621487356755
71,10.276575029076204
72,20.185739284496083
73,37.67782830370474
74,22.743772800398087
75,8.91915463801266
76,23.963030249949924
77,32.271337074637216
78,29.81014704906722
79,11.620814681029332
80,29.17889024832229
81,20.59425950248128
82,6.792622474952429
83,18.54757081255871
84,35.00127037461097
85,20.441809787708294
86,16.862908758654843
87,8.085048693940207
88,9.370851969255757
89,24.952910353933426
90,23.882956318311972
91,15.155265233081595
92,36.338662235013864
93,30.95775732234277
94,43.918533885651954
95,17.992704468098722
96,32.34064920919266
97,15.06024385209861
98,26.338776348059582
99,13.041624975995164
