x
30
10
20
24
20
24
40
20
50
30
26
44
25
20
40
100
30
80
50
40
20
50
50
50
50
80
80
20
60
50
50
50
50
60
50
50
50
50
17
120
80
100
80
100
50
70
50
50
50
30
90
125
50
25
50
75
100
60
100
11.5
100
100
50
40
50
50
50
150
50
80
100
100
80
20
30
100
70
100
80
80
50
50
50
70
25
40
100
25
130
100
60
60
100
50
50
50
50
50
50
100
30
50
50
50
100
50
50
75
25
20
75
50
50
100
100
80
130
200
40
64
40
80
80
79
80
105
51
130
105
105
80
80
40
40
50
105
105
80
105
40
50
130
105
80
40
80
50
100
200
79
150
80
80
80
80
80
65
130
40
80
80
80
130
51
130
80
80
130
51
25
79
80
50
51
50
105
80
80
130
130
80
51
50
130
115
115
200
160
105
80
80
80
130
130
80
51
50
130
105
105
80
105
80
60
51
105
80
51
40
130
130
40
32
80
25
80
80
80
40
130
130
40
75
40
80
80
150
52.5
130
80
80
75
40
25.5
51
50
80
51
130
130
51
130
80
130
80
130
130
25.5
117
130
80
80
80
80
